id,object
0
1,Out environment
2,Beds
3,Shelf
4,Bookshelves
5,Cabinet
6,Table
7,Desk
8,Dining table
9,Chair
10,Stool
11,Bench
12,Sofa
13,Screens
14,Other furniture
15,Carpet
16,Cushion
17,Piano
18,Bicycle
19,Bedding
20,pillow
21,Curtain
22,throw pillow
23,Tablecloth
24,Painting
25,Other Light
26,Table Lamp
27,Chandelier
28,Ceiling mounted lamp
29,Wall lights
30,Spotlight/Downlight
31,Floor Lamp
32,Cookware
33,Tooling
34,Dining car
35,Other Cooker
36,Bowl
37,Chopsticks
38,Cup
39,Plate
40,Tea set
41,Wine set
42,Other Kitchenware
43,TV
44,Air Conditioner
45,Fridge
46,Washing machine
47,Electric fan
48,Water Coolers
49,Air purifier
50,Sound
51,Hanging ironing machine
52,Heater
53,Vacuum cleaner
54,Ceiling fan
55,Sweeping robot
56,Smoke exhaust ventilator
57,Water heater
58,Induction cooker
59,Microwave oven
60,Bread machine
61,Kettle
62,Juice Maker
63,Coffee maker
64,Dishwasher
65,Built-in oven
66,Electric cooker
67,Other household appliances
68,Storage
69,Toys
70,Daily Equipment
71,Office supplies
72,Flowers and plants
73,Bookends
74,Pendants
75,Wall decoration
76,Tray
77,Ornament
78,Clock
79,Menorah
80,Picture frame
81,Flower ware
82,Decorative box
83,Mirror
84,Sculpture
85,Aromatherapy
86,Other Aromatherapy
87,Door
88,Window
89,Ground
90,Floor
91,Wall
92,Ceiling
93,Stairs
94,Inter-platform basin
95,Closestool
96,The toilet
97,Bathtub
98,Mop pool
99,Other Bathroom products
100,Avatar
101,Character
102,Cat
103,Dog
104,Other pets
105,Pillar
106,Other Hardware Decoration
107,Knife
108,Spoon
109,Fork
110,Beam
111,Light strip
112,Unknown
113,Door Handle
